iter	Passed	Remaining
0	131	130897
1	245	122592
2	377	125566
3	497	123756
4	613	122048
5	716	118747
6	820	116418
7	940	116664
8	1051	115827
9	1156	114494
10	1249	112347
11	1355	111562
12	1457	110649
13	1561	110009
14	1665	109369
15	1766	108659
16	1873	108311
17	1973	107652
18	2081	107477
19	2186	107130
20	2289	106753
21	2390	106280
22	2519	107013
23	2663	108317
24	2776	108290
25	2893	108388
26	2999	108100
27	3120	108314
28	3249	108801
29	3365	108827
30	3472	108534
31	3598	108853
32	3724	109149
33	3839	109075
34	3942	108713
35	4050	108465
36	4168	108490
37	4274	108202
38	4377	107855
39	4478	107491
40	4579	107124
41	4694	107081
42	4795	106718
43	4898	106427
44	5004	106202
45	5130	106403
46	5242	106308
47	5346	106030
48	5454	105868
49	5561	105677
50	5664	105403
51	5767	105142
52	5869	104874
53	5972	104632
54	6088	104618
55	6196	104453
56	6302	104264
57	6411	104132
58	6516	103934
59	6604	103467
60	6708	103267
61	6814	103098
62	6915	102851
63	7020	102668
64	7139	102701
65	7241	102482
66	7349	102339
67	7453	102150
68	7555	101941
69	7661	101782
70	7766	101626
71	7870	101440
72	7973	101257
73	8088	101211
74	8191	101024
75	8298	100887
76	8396	100651
77	8500	100485
78	8609	100370
79	8710	100173
80	8816	100027
81	8920	99866
82	9039	99872
83	9152	99803
84	9265	99735
85	9381	99703
86	9489	99581
87	9618	99678
88	9749	99792
89	9879	99897
90	10017	100066
91	10182	100497
92	10325	100698
93	10463	100853
94	10600	100987
95	10739	101128
96	10858	101089
97	10991	101169
98	11149	101472
99	11295	101661
100	11455	101961
101	11632	102411
102	11852	103217
103	12130	104506
104	12292	104778
105	12437	104896
106	12721	106169
107	12864	106249
108	13009	106340
109	13174	106594
110	13331	106776
111	13465	106761
112	13592	106691
113	13726	106682
114	13856	106630
115	13983	106563
116	14132	106660
117	14255	106553
118	14383	106484
119	14513	106435
120	14643	106379
121	14776	106339
122	14908	106301
123	15049	106315
124	15194	106360
125	15326	106309
126	15437	106120
127	15556	105979
128	15681	105881
129	15793	105694
130	15931	105680
131	16085	105774
132	16219	105732
133	16346	105643
134	16473	105551
135	16600	105460
136	16730	105392
137	16859	105308
138	16989	105239
139	17138	105280
140	17275	105247
141	17406	105172
142	17539	105113
143	17666	105019
144	17810	105022
145	18049	105579
146	18191	105561
147	18324	105488
148	18457	105416
149	18570	105233
150	18713	105216
151	18855	105194
152	18986	105108
153	19133	105110
154	19270	105056
155	19403	104980
156	19522	104825
157	19650	104717
158	19786	104658
159	19916	104559
160	20066	104570
161	20207	104529
162	20340	104447
163	20473	104366
164	20604	104270
165	20737	104186
166	20872	104111
167	21006	104031
168	21152	104011
169	21285	103921
170	21413	103813
171	21547	103726
172	21679	103635
173	21810	103535
174	21943	103449
175	22103	103482
176	22254	103477
177	22390	103397
178	22521	103298
179	22653	103199
180	22787	103108
181	22921	103019
182	23068	102989
183	23216	102960
184	23354	102885
185	23486	102785
186	23618	102684
187	23750	102583
188	23881	102475
189	24018	102393
190	24163	102348
191	24295	102245
192	24430	102152
193	24558	102030
194	24684	101900
195	24814	101789
196	24939	101657
197	25088	101619
198	25215	101497
199	25351	101406
200	25484	101305
201	25616	101196
202	25747	101086
203	25880	100984
204	26007	100857
205	26161	100834
206	26299	100749
207	26435	100658
208	26571	100563
209	26694	100422
210	26830	100329
211	26961	100214
212	27112	100175
213	27243	100062
214	27376	99957
215	27509	99850
216	27638	99727
217	27771	99618
218	27879	99425
219	28004	99288
220	28142	99197
221	28274	99087
222	28397	98945
223	28525	98821
224	28655	98701
225	28785	98582
226	28920	98481
227	29071	98436
228	29209	98342
229	29346	98247
230	29469	98104
231	29600	97987
232	29731	97872
233	29861	97753
234	30000	97662
235	30159	97636
236	30301	97553
237	30437	97452
238	30569	97336
239	30701	97221
240	30835	97111
241	30965	96991
242	31108	96911
243	31242	96799
244	31372	96679
245	31508	96574
246	31643	96468
247	31776	96354
248	31907	96234
249	32041	96123
250	32181	96030
251	32316	95924
252	32450	95812
253	32573	95667
254	32701	95538
255	32837	95434
256	32970	95318
257	33112	95231
258	33246	95117
259	33362	94953
260	33479	94795
261	33607	94665
262	33745	94563
263	33855	94385
264	33953	94173
265	34073	94022
266	34179	93833
267	34285	93646
268	34388	93450
269	34492	93257
270	34590	93050
271	34692	92852
272	34796	92663
273	34900	92474
274	35003	92283
275	35131	92155
276	35236	91971
277	35339	91782
278	35443	91594
279	35545	91403
280	35651	91223
281	35761	91052
282	35864	90866
283	35964	90671
284	36073	90500
285	36189	90346
286	36295	90170
